instnm,total_patents,LATITUDE,LONGITUDE,count
Harvard University,386,42.3741720180001,-71.118234107,6819
Auburn University,193,32.600201,-85.492409,18709
University Of Alabama In Huntsville,20,34.722818245,-86.638419975,3061
Arkansas Tech University,13,35.2952270000001,-93.13233,4612
Arkansas State University,36,35.8436342110001,-90.677872403,9055
University Of Arkansas,67,36.065641709,-94.177852322,10913
Azusa Pacific University,13,34.1305700820001,-117.888311678,3480
Cabrillo College,22,36.9891237950001,-121.925653615,7681
California Institute Of Technology,280,34.139180938,-118.12556745,861
San Diego State University,63,32.7752498,-117.071227857,15477
San Francisco State University,36,37.721345016,-122.477904811,8446
San Jose State University,127,37.3375086940001,-121.88045846,9577
Claremont Mckenna College,31,34.1019954110001,-117.706414282,1175
Harvey Mudd College,190,34.1057167640001,-117.709758339,733
Pomona College,33,34.098298271,-117.711944226,1555
Cuesta College,21,35.3298590000001,-120.741624,8749
Long Beach City College,37,33.831741347,-118.135819317,13274
Miracosta College,8,33.190873853,-117.302032657,6427
Palomar College,56,33.1501895750001,-117.181718,16293
Pasadena City College,30,34.144552318,-118.118196247,13331
Point Loma Nazarene University,26,32.7168713180001,-117.250211265,2476
San Joaquin Delta College,15,37.9946428120001,-121.31722648,10380
Santa Barbara City College,23,34.4067883600001,-119.698045211,8380
Santa Monica College,15,34.0170207140001,-118.471205026,11641
Santa Rosa Junior College,39,38.454159567,-122.720688635,11270
Sierra College,29,38.791466783,-121.211533602,13782
Stanford University,1309,37.432973802,-122.175045063,6755
Santa Clara University,61,37.34935096,-121.938260384,4648
University Of Southern California,229,34.021058,-118.283858,13653
University Of The Pacific,14,37.9797673940001,-121.30923764,2859
Colorado College,21,38.848854283,-104.822678109,2449
Colorado School Of Mines,246,39.749091535,-105.2229073,2433
University Of Northern Colorado,34,40.403178,-104.701721,9906
Metropolitan State University Of Denver,7,39.7422480000001,-105.002391,10577
University Of Denver,48,39.681439471,-104.961531701,3967
Fairfield University,21,41.1607322130001,-73.2577796469999,3864
University Of Connecticut,194,41.8076580000001,-72.2569609999999,16144
University Of Hartford,21,41.7964847110001,-72.7149652749999,4605
Wesleyan University,9,41.5568095990001,-72.656773261,3063
Yale University,173,41.3123082560001,-72.9225111379999,5183
University Of Delaware,141,39.678028,-75.752833,16339
George Washington University,68,38.899096404,-77.0462768689999,10088
Georgetown University,34,38.908809272,-77.073463235,6522
Florida Institute Of Technology,62,28.064502728,-80.6246283469999,1685
Florida State University,101,30.443222,-84.301554,26293
Broward College,26,26.119403,-80.141649,19230
Rollins College,23,28.5934492010001,-81.3488766139999,1867
Seminole State College Of Florida,27,28.745511703,-81.305510822,7703
Tallahassee Community College,14,30.443865868,-84.338999757,11177
University Of Florida,365,29.638248,-82.361195,30731
University Of Miami,67,25.720406,-80.27645,8139
University Of South Florida,88,28.056647218,-82.415875827,18588
Emory University,44,33.793268061,-84.325817692,6477
Georgia Southern University,57,32.4198535670001,-81.7799360609999,12407
Kennesaw State University,11,34.03813476,-84.583117483,7893
Mercer University,7,32.8297309640001,-83.6510419639999,2714
University Of Georgia,81,33.9377270000001,-83.37143,22962
Boise State University,46,43.6044031690001,-116.205788934,11375
Brigham Young University-Idaho,97,43.8153837740001,-111.784728152,16240
University Of Idaho,84,46.7268937740001,-117.024296152,7673
Bradley University,128,40.6982329410001,-89.616847176,5040
Depaul University,59,41.9233318280001,-87.654115723,9332
Illinois Institute Of Technology,158,41.833800652,-87.628345934,1082
Illinois State University,78,40.5097236080001,-88.992339504,15170
Northern Illinois University,116,41.933790925,-88.766064704,14074
Northwestern University,256,42.0583771710001,-87.673652841,8027
Western Illinois University,15,40.4649492620001,-90.68474384,9029
Ball State University,38,40.199969944,-85.4087774609999,16561
Butler University,12,39.8401667800001,-86.17068693,3048
DePauw University,38,39.6395302500001,-86.863556488,2537
University Of Evansville,48,37.97176339,-87.532379406,2368
Taylor University,16,40.4583819710001,-85.4969064159999,2702
University Of Notre Dame,234,41.6995870000001,-86.2370749999999,9280
Valparaiso University,41,41.4631758690001,-87.045853106,2908
Vincennes University,43,38.6869369730001,-87.520650335,8989
Grinnell College,35,41.7463625510001,-92.721431748,1479
Luther College,24,43.313584093,-91.803971261,2723
University Of Northern Iowa,12,42.5149225420001,-92.459703256,10211
University Of Iowa,139,41.660695178,-91.5356979969999,18373
Pittsburg State University,18,37.3920566690001,-94.702483259,4854
Kansas State University,180,39.188616,-96.5810769999999,17499
University Of Kansas,189,38.9564740000001,-95.258651,18243
Murray State University,30,36.6124100000001,-88.323493,6679
University Of Louisville,65,38.2157517310001,-85.7606275959999,10811
Louisiana Tech University,51,32.525518048,-92.6496397349999,9022
University Of Louisiana At Lafayette,57,30.2152834710001,-92.019410495,12050
Bates College,9,44.105299184,-70.20333262,1930
Bowdoin College,41,43.907134,-69.963942,1836
Colby College,26,44.5642111430001,-69.663370299,2168
Anne Arundel Community College,15,39.0498128190001,-76.512223497,10847
Johns Hopkins University,147,39.3298076070001,-76.620722725,4247
Loyola University Maryland,9,39.3460438050001,-76.623417279,3675
Amherst College,11,42.372459,-72.518493,1663
Babson College,20,42.2965290000001,-71.2694789999999,1409
Bentley University,29,42.3887981170001,-71.220148305,3799
Boston College,64,42.3362032160001,-71.169241789,9836
Boston University,246,42.3495810000001,-71.09984,15311
Brandeis University,29,42.364947032,-71.2547160629999,2939
College Of The Holy Cross,20,42.238942367,-71.8086265969999,3129
Massachusetts Institute Of Technology,1058,42.3600953440001,-71.092114581,3919
Northeastern University,380,42.340182758,-71.088068563,11878
Smith College,7,42.317933,-72.638094,2692
Tufts University,89,42.4060040000001,-71.120641,4963
Wellesley College,37,42.2937410870001,-71.3066572509999,2298
Wentworth Institute Of Technology,120,42.3366320050001,-71.0949825179999,2972
Western New England University,39,42.116169879,-72.521340155,2415
Worcester Polytechnic Institute,164,42.274345904,-71.80976507,1810
Central Michigan University,33,43.5867420000001,-84.7748129999999,16026
Delta College,21,43.5594912130001,-83.985942617,9529
Eastern Michigan University,15,42.250277,-83.6251559999999,13153
Ferris State University,102,43.6876317050001,-85.481737483,8110
Kettering University,393,43.0134931310001,-83.713249009,2365
Grand Rapids Community College,45,42.9664081880001,-85.666570937,13020
Grand Valley State University,95,42.9652080720001,-85.887518587,13614
Hope College,26,42.7880516180001,-86.1053755,3403
Kalamazoo College,14,42.290610568,-85.59952846,1457
Lansing Community College,16,42.7389406450001,-84.551701166,15267
Lawrence Technological University,89,42.47407166,-83.250029898,1263
Michigan State University,640,42.7247600000001,-84.4736389999999,32656
Michigan Technological University,405,47.1183001850001,-88.5464025489999,5039
Oakland Community College,32,42.5954410000001,-83.244787,16090
Oakland University,66,42.6745690000001,-83.216414,8080
Saginaw Valley State University,33,43.5139780000001,-83.962708,4676
University Of Detroit Mercy,31,42.414236504,-83.1359324319999,1600
Washtenaw Community College,27,42.263310533,-83.664928,7687
Wayne State University,47,42.3586100000001,-83.072864,8850
Western Michigan University,137,42.280799314,-85.6134824379999,18939
Carleton College,28,44.4623035180001,-93.154661918,1992
Gustavus Adolphus College,43,44.3249680000001,-93.971928,2854
Macalester College,6,44.9366324260001,-93.16915068,1734
Mississippi State University,42,33.451697,-88.790826,10686
University Of Mississippi,21,34.3634384270001,-89.53716886,9871
University Of Southern Mississippi,15,31.327499,-89.33791,7917
Truman State University,12,40.1882666980001,-92.581658375,6276
Southeast Missouri State University,8,37.3157503950001,-89.529118779,7013
Saint Louis University,49,38.6365162180001,-90.233430029,6504
Dartmouth College,369,43.705524,-72.288842,4505
Rowan University,24,39.7106244030001,-75.118506999,6203
New Jersey Institute Of Technology,30,40.741997,-74.177113,2312
Princeton University,278,40.3471414210001,-74.657697813,4508
Stevens Institute Of Technology,55,40.7447760000001,-74.025334,1344
Alfred University,70,42.253288667,-77.7875397,2044
Clarkson University,274,44.6637610000001,-74.999947,2548
Colgate University,30,42.818175302,-75.5352176979999,3116
Columbia University In The City Of New York,149,40.80828575,-73.9618851079999,5529
Barnard College,9,40.809136779,-73.96402698,2331
Cornell University,664,42.4487130000001,-76.476535,13161
Fordham University,14,40.861411704,-73.889899493,6986
Hamilton College,11,43.0542475330001,-75.407996485,1964
Hofstra University,7,40.7159586860001,-73.6007800849999,7751
Ithaca College,36,42.4226396930001,-76.495056721,6409
Marist College,65,41.721954861,-73.934342,4248
New York University,71,40.729451904,-73.997263897,16436
Rensselaer Polytechnic Institute,588,42.7289834860001,-73.6787674999999,4724
Rochester Institute Of Technology,481,43.084435834,-77.673853707,7410
Siena College,5,42.7186217780001,-73.751027204,3036
Binghamton University,56,42.0880490000001,-75.971143,9045
SUNY College At Geneseo,9,42.7968637270001,-77.821998508,5437
SUNY College Of Technology At Alfred,11,42.254693,-77.799168,3473
Fashion Institute Of Technology,18,40.7473095570001,-73.9947806979999,5093
Hudson Valley Community College,22,42.6972756530001,-73.6821405269999,9878
Monroe Community College,42,43.101050946,-77.610129576,13550
Suffolk County Community College,23,40.8489629910001,-73.056165407,18213
Syracuse University,159,43.0398910000001,-76.13267,11786
University Of Rochester,157,43.1263970000001,-77.631202,4321
Yeshiva University,24,40.8507995160001,-73.928541028,1758
Appalachian State University,13,36.2126824970001,-81.677519603,11497
Davidson College,4,35.5000063840001,-80.8452358279999,1843
Duke University,269,36.002343506,-78.9385972709999,7027
East Carolina University,16,35.606347,-77.3661989999999,14080
Wake Forest University,25,36.1320982450001,-80.27794276,4447
University Of North Dakota,59,47.921654,-97.071738,8885
Baldwin Wallace University,3,41.373295926,-81.8491119999999,3453
Case Western Reserve University,266,41.504095491,-81.604892858,3304
Cedarville University,32,39.75033848,-83.812098191,3615
Cleveland State University,23,41.5022813630001,-81.674355255,4867
Denison University,12,40.0725823020001,-82.520625101,1791
Kenyon College,10,40.376828,-82.396215,1844
Oberlin College,12,41.294739915,-82.221786234,2911
Sinclair Community College,31,39.757598494,-84.200628168,15106
University Of Dayton,123,39.7404644370001,-84.179788751,7419
University Of Toledo,190,41.6572464010001,-83.615935515,15600
Youngstown State University,19,41.1058939750001,-80.6468878009999,9708
Oregon State University,162,44.5631090000001,-123.278711,12614
Oregon Institute Of Technology,45,42.257151875,-121.785177491,1354
Portland Community College,37,45.4383824170001,-122.732022546,15946
Portland State University,22,45.511697724,-122.684197234,5930
Reed College,13,45.4809591370001,-122.630347938,1358
Chemeketa Community College,12,44.97803465,-122.976722427,8104
University Of Oregon,74,44.044515,-123.07398,12790
University Of Portland,29,45.57196701,-122.72597226,2709
Bucknell University,76,40.953703778,-76.885192345,3759
Bucks County Community College,39,40.2391024140001,-74.965840801,8345
Carnegie Mellon University,837,40.4435975910001,-79.9434850709999,4651
Haverford College,12,40.0073695940001,-75.3050851799999,1252
Lafayette College,46,40.6995126260001,-75.211342283,2303
Lehigh University,216,40.6066256980001,-75.377095149,4628
Millersville University Of Pennsylvania,16,39.9956770000001,-76.3525549999999,6760
Shippensburg University Of Pennsylvania,7,40.061915991,-77.5219861049999,6884
West Chester University Of Pennsylvania,24,39.951958018,-75.5985050799999,9146
Swarthmore College,28,39.905985964,-75.351638824,1408
Temple University,28,39.9807119970001,-75.158451607,15236
University Of Pennsylvania,201,39.951001933,-75.1936178779999,9653
Villanova University,47,40.035771633,-75.3402221859999,7066
Pennsylvania College Of Technology,21,41.236891895,-77.0254139849999,6823
Brown University,195,41.82685309,-71.402925109,5998
Providence College,19,41.844192837,-71.437905829,4200
Rhode Island School Of Design,154,41.8259348220001,-71.407692034,1421
Roger Williams University,22,41.6482086770001,-71.260560609,3317
University Of Rhode Island,66,41.489334,-71.5287079999999,9704
Clemson University,169,34.677329,-82.834463,13325
College Of Charleston,23,32.783034441,-79.9368832179999,8848
Furman University,30,34.924725729,-82.439302932,3049
Christian Brothers University,21,35.1274366170001,-89.983240721,1058
Middle Tennessee State University,13,35.8481114190001,-86.367271207,15162
Tennessee Technological University,37,36.1746591740001,-85.503956864,6146
Vanderbilt University,132,36.144429824,-86.804874645,6817
Baylor University,48,31.546149574,-97.1184525799999,11730
Blinn College,18,30.159713074,-96.4096771499999,13658
Lamar University,13,30.044274,-94.073389,7083
Letourneau University,50,32.4676582430001,-94.7272601399999,1191
University Of North Texas,31,33.2109580000001,-97.151211,15127
Rice University,143,29.716218473,-95.404976867,3066
Sam Houston State University,7,30.7135526860001,-95.548627091,8705
Southern Methodist University,28,32.8452542960001,-96.78485525,5500
Texas State University,32,29.8880766830001,-97.939154554,14768
Tarrant County College District,27,32.747500937,-97.327948441,27358
Texas Christian University,20,32.7095675620001,-97.3615366,6099
Trinity University,49,29.462860371,-98.482577436,2686
Brigham Young University,441,40.2508510000001,-111.649281,28861
Dixie State University,26,37.1038748710001,-113.565893952,6379
University Of Utah,133,40.7624835140001,-111.84604402,13555
Utah State University,75,41.7407480000001,-111.81391,12974
Snow College,20,39.3611117230001,-111.581542685,4304
Weber State University,46,41.1925803870001,-111.944839646,13453
Middlebury College,10,44.0091170000001,-73.176068,2470
James Madison University,56,38.4353318500001,-78.87166267,14985
Northern Virginia Community College,45,38.834039428,-77.236678562,22619
Old Dominion University,15,36.884919123,-76.309652591,7761
Radford University,14,37.136914113,-80.549731488,7887
Virginia Commonwealth University,60,37.5476308040001,-77.453597164,12811
University Of Richmond,16,37.5773993330001,-77.538797178,3321
University Of Mary Washington,11,38.301815581,-77.473864512,3682
George Mason University,23,38.8308802880001,-77.307939513,9661
Virginia Military Institute,16,37.790756635,-79.4352489899999,1388
Bellevue College,49,47.5847780600001,-122.149954652,8886
Clark College,17,45.634286757,-122.652290951,7391
Gonzaga University,31,47.668144,-117.403062,3574
Pacific Lutheran University,26,47.145494,-122.445372,2776
Seattle Pacific University,40,47.649226578,-122.362572342,2931
Seattle University,47,47.610137895,-122.319699905,2583
University Of Puget Sound,28,47.2635938930001,-122.481198784,2787
Washington State University,122,46.7304480000001,-117.158168,12977
Western Washington University,218,48.737378554,-122.485015772,10996
Whitman College,27,46.0714875680001,-118.329714327,1666
Marshall University,0,38.4226100000001,-82.43065,9287
Marquette University,123,43.0371829200001,-87.931088255,7675
Milwaukee School Of Engineering,122,43.0453643660001,-87.907690878,1755
University Of Wyoming,34,41.311943,-105.57204,6645
University Of Central Florida,190,28.6021594320001,-81.200889272,21490
Utah Valley University,83,40.2785117010001,-111.717057774,16911
Kirkwood Community College,17,41.9112678220001,-91.6511715359999,13331
Montgomery County Community College,18,40.1756093280001,-75.276093498,7863
Dunwoody College Of Technology,14,44.973081366,-93.290068699,1704
Baker College,3,42.9747642,-83.694679067,15640
Central New Mexico Community College,16,35.07599,-106.624957,15802
Wake Technical Community College,20,35.650151264,-78.706125589,7098
Clackamas Community College,15,45.3231854430001,-122.574272388,5977
Salt Lake Community College,43,40.671574891,-111.942809423,17404
Waukesha County Technical College,43,43.0714444770001,-88.256292289,4512
Valencia College,41,28.5226463230001,-81.464168036,22616
Illinois Central College,19,40.70624687,-89.5254112649999,8582
College For Creative Studies,123,42.3618391090001,-83.0623520629999,498
Columbus State Community College,23,39.969976349,-82.98765394,17603
Des Moines Area Community College,20,41.707348,-93.611597,11857
Academy Of Art University,22,37.7877475290001,-122.400685638,2195
Moraine Valley Community College,28,41.6946130000001,-87.836915,11740
College Of Lake County,16,42.355881013,-88.012392109,7666
Hillsborough Community College,36,27.934808,-82.4562969999999,15124
Johnson County Community College,19,38.9230610600001,-94.730828151,12841
College Of The Canyons,26,34.4031209880001,-118.569523652,9011
Macomb Community College,90,42.505281,-82.972144,17719
Saddleback College,63,33.552162755,-117.665840108,10028
Moraine Park Technical College,40,43.785223672,-88.417655705,4261
Northern Kentucky University,15,39.0292210000001,-84.4659589999999,9234
Tulsa Community College,32,36.1067878100001,-95.908250395,10879
University Of North Florida,21,30.2693131980001,-81.5083080589999,7534
Oakton Community College,21,42.061893324,-87.8806439969999,6176
Pepperdine University,26,34.041683488,-118.709380444,2857
Erie Community College,12,42.881771024,-78.872679024,11930
Loyola Marymount University,32,33.970855048,-118.415745082,5040
Milwaukee Institute Of Art & Design,124,43.0309172,-87.907924726,640
Savannah College Of Art And Design,160,32.0774394650001,-81.100234402,4675
